field_id,NDVI_total,NDVI_core,NDVI_edge,area_m2,shape_inde,core_area,total_area,edge_ratio,size_class,edge_effect,abs_edge_effect
92,-0.0078526831099951,-0.0049665146583939,-0.0112022550095169,361.8471987460981,1.129520670592042,193.1255624295525,357.5069883183548,0.4597991962675229,medium,-0.0062357403511230005,0.0062357403511230005
93,0.4667347388528505,0.4665536871344871,0.4670855674875497,904.0115160293044,1.258237410778499,598.5887664473632,906.7111801386612,0.3398242135320064,medium,0.0005318803530626193,0.0005318803530626193
94,0.2701826173806626,0.2621120952285633,0.2840841596298462,722.7325238625514,1.216260045578292,450.58087936758767,714.0634100004428,0.3689903822864859,medium,0.021972064401282854,0.021972064401282854
100,0.2098114435021814,0.2069592075422406,0.2140859236928406,541.6106140465115,1.163483606385054,327.899757594073,544.2203966817185,0.3974871952734957,medium,0.00712671615060001,0.00712671615060001
101,0.3984552435135181,0.3979970117410024,0.3986667973832005,180.6258137964425,1.216352908070796,59.28244390789646,178.51738043254664,0.6679178029374203,small,0.0006697856421981063,0.0006697856421981063
102,0.4378339047476038,0.4374797610441844,0.4380475510107843,270.78052686843137,1.304324171848032,104.83036549391451,267.6578812319458,0.608341943785055,small,0.0005677899665998964,0.0005677899665998964
103,-0.0917080250547772,-0.0910159438848495,-0.092115000094238,271.1160879029905,1.333877929664018,99.08400890749412,267.9439834607004,0.6302062556966246,small,-0.0010990562093884937,0.0010990562093884937
104,0.2119749353991614,0.2106481492519378,0.212354017155511,90.3992564857435,1.129538412952203,19.65329100693375,89.2813382001596,0.779872351791221,small,0.0017058679035731883,0.0017058679035731883
108,-0.1434479685886851,-0.1443726569414138,-0.1431595756865964,90.41954673163328,1.129530105602286,21.899047463023177,93.81087864006724,0.7665617486960628,small,0.0012130812548173942,0.0012130812548173942
115,0.3998602144800278,0.3971946685096066,0.4016889931050492,270.9969388049948,1.304299111179637,111.54581485658656,276.66984589331366,0.5968269888739534,small,0.004494324595442578,0.004494324595442578
118,0.4658814871138192,0.4661143006914754,0.4657055927174431,270.6564573637073,1.304336918454698,106.70183564325444,271.9446526007796,0.6076339997025242,small,-0.0004087079740323074,0.0004087079740323074
122,0.0310150186590377,0.0381010472774505,0.0289437179859632,90.38252039304037,1.129540581011956,19.665693324992866,89.30551944808033,0.7797930805785644,small,-0.009157329291487298,0.009157329291487298
124,0.1037000189774592,0.0991066694259643,0.105035840020496,90.3563929627392,1.12954610840946,19.65047382596855,89.27356303166528,0.7798847367725366,small,0.005929170594531699,0.005929170594531699
126,0.4399689690397662,0.449210911989212,0.4373418177444922,90.43352627565751,1.129527303244219,19.706686006120343,89.39020426311353,0.7795431147230052,small,-0.011869094244719769,0.011869094244719769
127,0.2905821094713589,0.2723483344192033,0.3008511713387803,180.64349551747347,1.179818609351707,63.83942562628623,178.46779898282827,0.6422916291334511,small,0.028502836919577,0.028502836919577
128,0.3386779076427142,0.3258030750480384,0.3470647811629933,270.9555964170555,1.304304354899903,104.74777892924646,267.58963939338423,0.6085506928941428,small,0.02126170611495487,0.02126170611495487
129,0.1903128489792584,0.1923019587993621,0.1897416174411774,90.30558083660851,1.129565981638961,19.62793734825009,89.22675455907546,0.7800218393547557,small,-0.002560341358184698,0.002560341358184698
138,0.3411109046973729,0.3338518540064494,0.3447144380992367,180.69299771715208,1.216282155554166,61.28554124286084,182.99112974460144,0.6650900984741919,small,0.010862584092787286,0.010862584092787286
140,-0.0748812407932498,-0.0748512121280292,-0.0748998559607342,270.7420019360581,1.304328911516761,113.68915967164564,281.2428822207066,0.5957616463963431,small,-4.8643832705003165e-05,4.8643832705003165e-05
141,0.1553203356693465,0.1548395156860351,0.1554552596442553,90.40688799543818,1.129532522377972,19.671720371684188,89.31843374037862,0.779757441460921,small,0.0006157439582201996,0.0006157439582201996
143,0.3713615740289782,0.3701825472860705,0.3720350960581939,180.4639467404824,1.179646875697606,63.81569124235058,178.36736614981476,0.6422232798529393,small,0.0018525487721234302,0.0018525487721234302
144,0.3263824384546641,0.2926038801670074,0.3369697477687057,90.34504074511474,1.129553785806305,21.85742514781183,93.72795160953152,0.7667992869526333,small,0.044365867601698306,0.044365867601698306
145,0.409241372909186,0.4191466569900512,0.4061521011413913,90.2555788049109,1.129578886198005,21.833352802353183,93.68001836918329,0.7669369286808827,small,-0.012994555848659939,0.012994555848659939
146,0.1850038691172524,0.183895543217659,0.1853205336599933,90.38325714610976,1.12954088029077,19.669290327465987,89.31286214550548,0.7797709103150066,small,0.0014249904423342952,0.0014249904423342952
147,0.4062131805585162,0.4113594403306206,0.403202111676613,180.66110236165628,1.17985752477135,70.40351517107008,187.5713661595213,0.624657448455139,small,-0.00815732865400759,0.00815732865400759
148,0.3376608571362873,0.3561430871486664,0.3323802199898933,90.20518645181986,1.129594372020807,19.56295355765474,89.09638880326109,0.7804293325417169,small,-0.02376286715877307,0.02376286715877307
149,0.2116276845483496,0.2151633342216303,0.2096354608934361,180.5364010051565,1.17973789052338,63.82550805336672,178.41930058801756,0.6422724007827818,small,-0.0055278733281942105,0.0055278733281942105
151,0.2879711970289594,0.2840453737060959,0.3001059794320859,5964.546098146218,2.180372524863203,4492.151662221513,5942.521014017888,0.2440663395846779,very_large,0.016060605725989996,0.016060605725989996
154,0.2149602925187742,0.2085592041132654,0.2480736709700144,5331.813819081174,1.386989856377051,4459.752404755054,5322.278846029459,0.1620596113482233,very_large,0.039514466856749,0.039514466856749
156,-0.105675079674965,-0.1055790342637514,-0.1059446152749029,6234.933816355228,2.317860070207217,4690.377544293284,6274.10031859954,0.2524222906687222,very_large,-0.0003655810111515001,0.0003655810111515001
157,-0.0238103886650695,-0.0266565408112035,-0.0130961684483824,12638.514625497164,2.742220165505623,10008.50439942157,12673.429436517978,0.2102765514610853,very_large,0.013560372362821099,0.013560372362821099
158,0.3506987862825237,0.3456806659351444,0.3789554587606211,8575.000275765655,1.622489748487827,7307.81613271481,8602.93159157657,0.1505435031158276,very_large,0.033274792825476684,0.033274792825476684
163,0.3308760548319409,0.3249410850893502,0.3505770735844417,5512.682748591472,1.998440201063728,4229.833701913586,5504.993391913478,0.2316369156542547,very_large,0.025635988495091466,0.025635988495091466
170,-0.0861232456787766,-0.0849880124134516,-0.0888531383418746,6150.420843679373,2.764170812992986,4251.698572150133,6139.980503077162,0.3075387503235038,very_large,-0.003865125928423002,0.003865125928423002
172,0.3613416448991136,0.3564491064862297,0.395191955634996,22341.63625488366,2.149630234469118,19615.661300589927,22431.320104127048,0.1255235443329561,very_large,0.0387428491487663,0.0387428491487663
173,0.0375191249204054,0.0341899655109416,0.0482331566247229,8228.03528200907,2.495003473674774,6313.67835112785,8287.600166842889,0.238177732513246,very_large,0.0140431911137813,0.0140431911137813
177,0.1940857434789285,0.1915430636322802,0.2076748664529423,82063.00656650204,5.120243849714695,69365.9986112137,82311.17183534279,0.1572711569460452,very_large,0.016131802820662094,0.016131802820662094
182,-0.1644456717539021,-0.1671030866848521,-0.1541886814941862,10672.704250710894,2.45811803333323,8494.559972562198,10694.197632695588,0.2056851514889152,very_large,0.01291440519066589,0.01291440519066589
184,0.0532038910784508,0.0523488924656701,0.0569735497209202,19428.06863460452,2.850270338435906,15920.954488186146,19453.753667064822,0.1815998721552489,very_large,0.004624657255250096,0.004624657255250096
185,0.0104617542000147,0.001551982900231,0.0530605930343015,13843.75014559862,2.33059913964266,11487.633232675596,13889.317540569486,0.172915933477565,very_large,0.0515086101340705,0.0515086101340705
188,0.3219991117461614,0.3307270236592615,0.2765308076089155,6322.992562635114,1.49125822356563,5332.896965715805,6354.900971111101,0.1608213896709404,very_large,-0.05419621605034597,0.05419621605034597
198,0.0222450315188791,0.0140837605040393,0.0662448811927416,9859.02504286474,1.77294187070058,8357.553714379075,9894.646019568036,0.1553458609988824,very_large,0.05216112068870231,0.05216112068870231
199,0.3993341194064563,0.400085761418176,0.3961188603594132,5598.69446115622,1.666146241346735,4560.545824071304,5631.41809564926,0.1901603207911865,very_large,-0.003966901058762795,0.003966901058762795
