system:index,area_m2,chunk_id,confiden_1,confiden_2,confidence,field_id,label,mean,perimeter_,shape_inde,size_class,time,.geo
00000000000000000033,813.1623457395108,N24E091,0.430602252483368,0.430602252483368,0.430602252483368,52,field,0.5141833484617632,132.34595447447327,1.309233497318021,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.69778347306945,24.795901621339755],[91.69778347306945,24.79608442258427],[91.69787263580065,24.796084412309668],[91.69787263580065,24.796173594652995],[91.69760507397804,24.79617362615765],[91.69760507397804,24.796084443805572],[91.69751146110976,24.796084413592343],[91.69751146110976,24.795901612329565],[91.69778347306945,24.795901621339755]]]}"
00000000000000000035,1353.1253068209217,N24E091,0.423365384340286,0.423365384340286,0.423365384340286,54,field,0.38812248400120863,195.44525171963772,1.498825880691074,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.87950966717955,24.981582977801466],[91.87950966717955,24.98221176147434],[91.87942050571603,24.982211795711752],[91.87942050571603,24.982300923827932],[91.87933126994587,24.98230095894874],[91.87933126994587,24.98158304711109],[91.87950966717955,24.981582977801466]]]}"
00000000000000000036,541.9868789190803,N24E091,0.405080944299698,0.405080944299698,0.405080944299698,55,field,0.10448632545136158,94.27322180553935,1.14232328909273,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.77467619424698,24.81809003725824],[91.77467619424698,24.818268476249067],[91.77440868031555,24.818268465144094],[91.77440868031555,24.8180901166672],[91.77467619424698,24.81809003725824]]]}"
0000000000000000003f,542.2166487771331,N24E091,0.424999445676804,0.424999445676804,0.424999445676804,64,field,0.3379217470433079,114.19353502218902,1.383407612393304,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.65385684921824,24.774341848767587],[91.65385684921824,24.774252659550328],[91.6539460698585,24.774252675400255],[91.6539460698585,24.774341864614662],[91.65403521657895,24.774341881220945],[91.65403521657893,24.77452469639842],[91.65385684921824,24.774524663956743],[91.65385684921824,24.774431037962653],[91.65376318256459,24.774430980357927],[91.65376318256459,24.77434188170729],[91.65385684921824,24.774341848767587]]]}"
00000000000000000040,451.23621419440053,N24E091,0.491458386182785,0.491458386182785,0.491458386182785,65,field,0.4245269636174182,94.22232363044498,1.251258108289344,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.76219068817535,24.93639892628177],[91.76219068817535,24.93648816106468],[91.76227990864004,24.936488107145994],[91.76227990864004,24.93657734190254],[91.76201232208135,24.936577321624373],[91.76201232208135,24.93639894257157],[91.76219068817535,24.93639892628177]]]}"
00000000000000000041,542.417370438924,N24E091,0.543424487113953,0.543424487113953,0.543424487113953,66,field,0.19667358890640158,114.21358661720414,1.383394495429811,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.70559577234751,24.722959601040458],[91.70559577234751,24.7228704008154],[91.70568947683236,24.722870427489095],[91.70568947683236,24.72295962771106],[91.70577865579345,24.722959614963933],[91.70577865579344,24.723138015336477],[91.70559577234751,24.723138001425045],[91.70559577234751,24.723048801243674],[91.70550659376178,24.72304881388118],[91.70550659376178,24.722959613675037],[91.70559577234751,24.722959601040458]]]}"
00000000000000000043,813.298564287881,N24E091,0.460292160511017,0.456351190805435,0.460292160511017,68,field,0.4568515022595723,173.87806416778903,1.719946196934306,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.99997675356849,24.752242535063107],[91.99997675356849,24.752603701331306],[92.00006593433007,24.752603694202087],[92.00006593433007,24.752782058952462],[91.99997675356849,24.75278206608856],[91.99997675356849,24.752692883720947],[91.99988309155432,24.752692859759094],[91.99988309155432,24.752425312513218],[91.99979391115974,24.752425319522246],[91.99979391115974,24.752242518084966],[91.99997675356849,24.752242535063107]]]}"
00000000000000000045,903.3379950149463,N24E091,0.400359094142914,0.400359094142914,0.400359094142914,70,field,0.44192969092924006,152.22927503781816,1.428789034416988,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.72122940948769,24.818718848459884],[91.72122940948769,24.818629672554657],[91.72131862033031,24.818629647070605],[91.72131862033031,24.81854047114583],[91.72149696834536,24.818540420868175],[91.72149696834536,24.818718772683415],[91.72140775713699,24.818718798280557],[91.72140775713699,24.818897150011704],[91.72122940948769,24.81889720020284],[91.72122940948769,24.81880802434261],[91.72114019882801,24.818807959243596],[91.72114019882801,24.818718783357888],[91.72122940948769,24.818718848459884]]]}"
00000000000000000047,633.0637659389024,N24E091,0.512956559658051,0.512956559658051,0.512956559658051,72,field,0.14848227843530756,134.1317062148521,1.503844003962545,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.69966965249887,24.674359900927502],[91.69966965249887,24.674542672713887],[91.69975881910273,24.67454266525745],[91.69975881910273,24.674721089554595],[91.69958048607808,24.67472110442438],[91.69958048607808,24.674449029961654],[91.69949131984035,24.67444903730545],[91.69949131984035,24.674359915664045],[91.69966965249887,24.674359900927502]]]}"
0000000000000000004a,1083.463859521238,N24E091,0.399584710597992,0.399584710597992,0.399584710597992,75,field,0.3971034975921044,188.4953588909628,1.615431379855679,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.81609229905082,24.874323791162976],[91.81609229905082,24.874412949664436],[91.81635984486279,24.874412970745247],[91.81635984486279,24.874595813469654],[91.81627066274395,24.874595806504384],[91.81627066274395,24.874506648056077],[91.81609229905082,24.874506633953512],[91.81609229905082,24.874595792408055],[91.81590947329993,24.874595832084633],[91.81590947329993,24.874506583107483],[91.81582029209778,24.874506666376245],[91.81582029209778,24.87432382356622],[91.81609229905082,24.874323791162976]]]}"
0000000000000000004d,361.09006541188995,N24E091,0.407371252775192,0.407371252775192,0.407371252775192,78,field,0.3934203222916838,76.0899669364429,1.129574015510193,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.78303251937928,24.89947757980166],[91.78303251937928,24.899655976626743],[91.78285421678719,24.899655923976685],[91.78285421678719,24.899477617650174],[91.78303251937928,24.89947757980166]]]}"
00000000000000000051,722.893480854168,N24E091,0.465975821018219,0.465975821018219,0.465975821018219,82,field,0.03873963260816203,114.18832896630943,1.198062932195687,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.98560060174088,24.760148562487423],[91.98560060174088,24.760059381389357],[91.98578338571735,24.760059325242047],[91.98578338571735,24.76033130486604],[91.98551137535912,24.760331360482606],[91.98551137535912,24.760148561928375],[91.98560060174088,24.760148562487423]]]}"
00000000000000000058,360.8341832359092,N24E091,0.419471949338913,0.419471949338913,0.419471949338913,89,field,0.30273981958497564,95.96082081335868,1.425066678928589,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.9120298781533,24.97933561481373],[91.9120298781533,24.979246487101815],[91.91211903105771,24.979246433620176],[91.91211903105771,24.97951843140641],[91.9120298781533,24.979518484898012],[91.9120298781533,24.97942926674956],[91.91194072542898,24.979429229697445],[91.91194072542898,24.979335668243134],[91.9120298781533,24.97933561481373]]]}"
0000000000000000005b,361.8471987460981,N24E091,0.555869162082672,0.555869162082672,0.555869162082672,92,field,-0.008648159776452871,76.16610068461992,1.129520670592042,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.65403521657893,24.644359012174743],[91.65403521657895,24.644537363337374],[91.65385684921824,24.644537413166272],[91.65385684921824,24.644359061992276],[91.65403521657893,24.644359012174743]]]}"
0000000000000000005c,904.0115160293044,N24E091,0.413275629281998,0.413275629281998,0.413275629281998,93,field,0.4668264773088631,134.10794487184657,1.258237410778499,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.94446090485366,24.70733048000215],[91.94446090485366,24.7072412843726],[91.94463926715416,24.70724124875301],[91.94463926715416,24.707508835556432],[91.94455012321271,24.70750880764601],[91.94455012321271,24.70759800320705],[91.94436728544792,24.707598005887405],[91.94436728544792,24.707330509672456],[91.94446090485366,24.70733048000215]]]}"
0000000000000000005d,722.7325238625514,N24E091,0.475279897451401,0.475279897451401,0.475279897451401,94,field,0.24549120440592176,115.90980409011843,1.216260045578292,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.92137171102064,24.792579578859378],[91.92137171102064,24.79293628041683],[91.92119336802007,24.792936294581605],[91.92119336802007,24.792579592997747],[91.92137171102064,24.792579578859378]]]}"
00000000000000000063,541.6106140465115,N24E091,0.453056246042252,0.453056246042252,0.453056246042252,100,field,0.1998866224775509,95.98619669684498,1.163483606385054,medium,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.6987689465373,24.911873918330627],[91.6987689465373,24.912145902127666],[91.69859054339737,24.912145932156438],[91.69859054339737,24.911873857831154],[91.6987689465373,24.911873918330627]]]}"
00000000000000000064,180.62581379644251,N24E091,0.40117421746254,0.40117421746254,0.40117421746254,101,field,0.41290299089058585,57.95013315430175,1.216352908070796,small,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.78545829472431,24.842793496919874],[91.78545829472431,24.842971832129287],[91.7853691012256,24.842971896347965],[91.7853691012256,24.842793470606928],[91.78545829472431,24.842793496919874]]]}"
00000000000000000065,270.78052686843137,N24E091,0.434139370918274,0.420877158641815,0.434139370918274,102,field,0.431106450945832,76.0850252730767,1.304324171848032,small,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.76659182944506,24.918072054581398],[91.76659182944506,24.917982905648653],[91.76668105890735,24.917982849626554],[91.76668105890735,24.918161237969308],[91.76650267446091,24.918161258588235],[91.76650267446091,24.91807201916913],[91.76659182944506,24.918072054581398]]]}"
00000000000000000066,271.1160879029905,N24E091,0.340043693780899,0.340043693780899,0.340043693780899,103,field,-0.0966575908106427,77.85717891166685,1.333877929664018,small,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.89981196918846,24.751346295402335],[91.89981196918846,24.751613764194428],[91.89972276663084,24.751613802654724],[91.89972276663084,24.7513462433082],[91.89981196918846,24.751346295402335]]]}"
00000000000000000067,90.3992564857435,N24E091,0.483006358146667,0.483006358146667,0.483006358146667,104,field,0.20874500274658203,38.07048119160692,1.129538412952203,small,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.68008525645799,24.730236867168454],[91.68008525645799,24.730326066420908],[91.67999613026636,24.73032606360367],[91.67999613026636,24.730236864348324],[91.68008525645799,24.730236867168454]]]}"
0000000000000000006b,90.41954673163329,N24E091,0.554089844226837,0.554089844226837,0.554089844226837,108,field,-0.14160643517971042,38.07447341344553,1.129530105602286,small,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.82345877327027,24.69017184273545],[91.82345877327027,24.690261046910994],[91.823365113162,24.690261001225632],[91.823365113162,24.690171887609395],[91.82345877327027,24.69017184273545]]]}"
00000000000000000072,270.9969388049948,N24E091,0.401341795921326,0.401341795921326,0.401341795921326,115,field,0.41093232390585915,76.11396091251794,1.304299111179637,small,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.79758703444195,24.814678838463063],[91.79758703444195,24.814857187063982],[91.7974934296448,24.814857219728022],[91.7974934296448,24.814768045435564],[91.79740421159724,24.81476802559832],[91.79740421159724,24.814678851280295],[91.79758703444195,24.814678838463063]]]}"
