field_id,area_m2,perimeter_m,shape_index,size_class
90,540.7153663405829,94.14604648379904,1.1421227946272157,medium
91,1173.427984753316,152.17223827874034,1.2531477421022428,medium
92,361.8471987460981,76.16610068461992,1.129520670592042,medium
93,904.0115160293044,134.10794487184657,1.258237410778499,medium
94,722.7325238625514,115.90980409011843,1.2162600455782924,medium
95,721.9704034199391,155.66181090954487,1.6342460703502975,medium
96,721.1455488289479,150.299397511445,1.5788499004091998,medium
97,360.5288562398051,95.92968887291259,1.4252074652650022,medium
98,993.0069557089845,134.03066292813008,1.1998393150819553,medium
99,540.9443100807525,95.9406153201664,1.163647093212989,medium
100,541.6106140465115,95.98619669684498,1.1634836063850542,medium
101,180.62581379644251,57.95013315430175,1.216352908070796,small
102,270.78052686843137,76.0850252730767,1.3043241718480323,small
103,271.1160879029905,77.85717891166685,1.3338779296640177,small
104,90.3992564857435,38.07048119160692,1.129538412952203,small
105,271.0270235435545,77.84971836458328,1.3339692419661748,small
106,270.25831850389517,76.01485301842678,1.3043795847573518,small
107,270.38845617134007,76.03216881831356,1.3043627083201086,small
108,90.41954673163329,38.07447341344553,1.129530105602286,small
109,90.10382570015446,38.01111978256443,1.12962453447617,small
110,90.27138727899097,38.0445775110436,1.1295690264494913,small
111,90.16005905161362,38.0221996370266,1.1296013741957718,small
112,180.30335571249822,57.91819674126302,1.2167691637616156,small
113,90.39452442770109,38.06934645574331,1.1295343095239205,small
114,90.15801181224305,38.02199284279193,1.12960805546738,small
115,270.9969388049948,76.11396091251794,1.3042991111796371,small
116,180.2594789913323,56.13630257011713,1.1794779236583888,small
117,270.2013392697844,76.00726501863998,1.3043868890199437,small
118,270.6564573637073,76.06833587259675,1.3043369184546978,small
119,180.5500424624849,57.940861275890455,1.2164134600673073,small
120,90.11531820298586,38.01339274185719,1.1296200451668774,small
121,90.11637185515028,38.01367389487511,1.1296217961147081,small
122,90.38252039304035,38.06703000018291,1.1295405810119556,small
123,180.50158702878443,57.936333473742664,1.2164816518032933,small
124,90.35639296273919,38.06171372117645,1.1295461084094598,small
125,180.4237121183333,56.1706451941889,1.1796622267747974,small
126,90.43352627565753,38.0773221302325,1.129527303244219,small
127,180.64349551747347,56.21229778361028,1.1798186093517067,small
128,270.9555964170555,76.10846082556205,1.304304354899903,small
129,90.30558083660853,38.05167963920681,1.1295659816389614,small
130,90.16315402247432,38.022856161393165,1.12960149083532,small
131,180.30921781095884,56.14540445597832,1.1795064442704066,small
132,180.26840601131184,56.13813505297609,1.1794872202840276,small
133,180.4246685215739,56.170637026554616,1.179658928635914,small
134,180.2000359229608,56.12349748585817,1.1794033548310616,small
135,180.4415883517516,57.92872858428043,1.2165241758815755,small
136,180.18737600078993,56.120645582228484,1.1793848531660511,small
137,180.38972883841603,56.16089938071025,1.1795686436978918,small
138,180.69299771715208,57.957537996372174,1.2162821555541663,small
139,180.32264219578877,56.147815593551705,1.179513189860799,small
140,270.7420019360581,76.07988909264188,1.3043289115167611,small
141,90.40688799543818,38.07188956664608,1.1295325223779717,small
142,180.26747521693807,57.9132450648583,1.216786213601916,small
143,180.46394674048238,56.17617685649509,1.1796468756976057,small
144,90.34504074511474,38.05958132772902,1.1295537858063052,small
145,90.2555788049109,38.04157820393674,1.1295788861980045,small
146,90.38325714610976,38.067195237692516,1.1295408802907696,small
147,180.66110236165628,56.21689135918007,1.1798575247713496,small
148,90.20518645181986,38.031478234041984,1.1295943720208068,small
149,180.5364010051565,56.19178788292537,1.1797378905233797,small
150,270.3429958975097,76.02630191782856,1.304371715548014,small
151,5964.546098146218,596.9312737230996,2.1803725248632033,very_large
152,14153.087626750861,883.302446666417,2.0944929535286296,very_large
153,5051.277310221999,512.5325170667074,2.0343041552088286,very_large
154,5331.813819081174,359.01757149340045,1.3869898563770509,very_large
155,20113.79363142752,1474.3296734802632,2.932531457935706,very_large
156,6234.933816355228,648.7958598726907,2.3178600702072165,very_large
157,12638.514625497164,1092.8366966713754,2.7422201655056226,very_large
158,8575.000275765655,532.6034371101758,1.6224897484878271,very_large
159,12443.322843911816,854.2499728928899,2.1602890142660653,very_large
160,5319.919677697889,550.4625888174533,2.128973906888397,very_large
161,8018.429209611823,476.0054670088762,1.4995548609955227,very_large
162,18586.873611075513,1389.1824208838448,2.8744262749942235,very_large
163,5512.682748591472,525.9901233895166,1.9984402010637283,very_large
164,5592.233016197376,733.6370846594759,2.767475053542845,very_large
165,13981.65253506416,891.0905896064673,2.1258747457031495,very_large
166,7300.565769437709,552.1276222819321,1.8228724614777305,very_large
167,10015.736418468618,509.1111319661989,1.4350473062315412,very_large
168,13975.99907000151,811.3206764484935,1.9359591114891808,very_large
169,7945.433009212873,612.2528045742207,1.9376131178318774,very_large
170,6150.420843679373,768.4616972748786,2.7641708129929863,very_large
171,14787.601755792733,1026.646308174533,2.3815902556216,very_large
172,22341.63625488366,1139.0064467912189,2.1496302344691185,very_large
173,8228.03528200907,802.2766627038792,2.495003473674774,very_large
174,13626.776759115512,720.9890706928988,1.7423170188954369,very_large
175,7306.841315863011,431.207199717182,1.423037135636062,very_large
176,5233.4303467626205,440.0542628335159,1.7159636200401258,very_large
177,82063.00656650204,5199.592261681134,5.120243849714695,very_large
178,5228.482601913961,380.1955311628275,1.4832496079622588,very_large
